Class,OSCC,PM,OSCC,Normal,OSCC,OSCC,OSCC,OSCC,PM,Normal,OSCC,OSCC,PM,OSCC,PM,OSCC,Normal,OSCC,OSCC,PM,Normal,OSCC,Normal,PM,OSCC,Normal,PM,OSCC,Normal,OSCC,Normal,PM,OSCC,PM,OSCC,Normal,OSCC,PM,OSCC,Normal,Normal,PM
MB_11,4543462.19753038,3884186.66203558,6379170.66841588,6624444.29748797,7668649.72240577,4568771.46910552,10859645.0828456,2874407.47182211,3383029.53123532,1988511.35007088,10339347.4485432,7176761.1992816,11143127.9872236,9943541.24181172,8185272.12860856,7439187.02362657,3461355.61990383,10655849.122642,8889095.9167489,5999159.98076876,9214663.93609668,5627014.12781122,4923812.96830742,1807732.51485181,14418760.3758988,6448043.88168975,1075681.39197791,9431123.44630196,10023029.9636159,12310192.4764526,10271471.4538133,8759873.05873115,6050944.40991448,3784585.72855727,15847261.9014276,2453298.42573209,9427689.38867874,3657058.90843441,1349520.72127973,4415338.44938506,10121578.062203,13414589.3440533
MB_12,8412034.18582845,7026820.41727364,3643864.7409693,3529626.82458373,7569197.62281754,7512400.2362709,6516036.60274764,7100469.30120731,7238612.15851143,6999437.33505836,6207671.84806309,1999205.00196023,8667676.11526355,7804158.33625114,12000838.4068867,6823268.9545571,4043452.26763238,8244747.8247949,3465793.59242614,6025105.93133148,4608664.46011781,7824422.85890559,9063016.80545078,6439353.994925,6531606.08816405,9120394.66856083,4324843.53008456,5233770.49750731,6479537.48825171,7411805.23176618,5759985.52851696,9725001.90101896,9031224.05069235,8011368.1571791,9781389.5751213,5049253.7108604,4511156.74843241,1171209.90005547,12564956.5026438,9256838.84913204,5447041.79243353,6018944.11291433
MB_13,2219664.12356524,3173203.00788084,3201376.81725643,5223706.9485929,5298007.50314833,4718991.52480908,6944325.90956475,5161199.89297461,5141850.27328595,1564455.78654707,3931519.3004291,5541566.10570211,5585424.37961589,5454115.69711756,5535652.82569036,6745603.96752941,7101257.81951361,3115959.15243541,5658689.94553844,5475600.55881952,4875397.44198829,3829844.66462597,4966122.64532961,2675637.72502748,7126118.52329769,3194250.68795633,4238608.17475104,5034222.25461143,4224803.08501089,5721437.91320157,5691204.09064859,4942198.83295825,4823655.20197325,4611459.23592625,4768983.94429675,3556268.63584919,4636231.89718849,4088669.45228316,6335735.16274988,4575659.30408255,4651980.23416433,6796013.15803571
MB_14,52200048.3650256,24219216.5466166,83346670.7498715,56613743.8035707,91164307.8730471,39170123.9897012,101429130.139773,61277476.5662728,77949710.5555024,79915060.315648,18964443.0643775,48590567.7825056,14088361.5198475,55200051.2148694,83044886.1045515,142806214.804857,28185601.522819,32306943.6151395,22402512.7079504,75948929.3008713,51039314.3752588,60562775.5367194,28669028.6044729,78799047.8199904,47954179.4397758,82505933.7402222,77622206.283419,98119929.7506159,39750180.3324626,22308510.866827,33673120.8988075,16154756.4900209,41688391.0833948,98285085.3070364,138602757.275617,87484208.7829198,54725718.6927181,78203416.2654446,56207396.0518404,99665194.1051515,36176258.4652006,63416389.6028487
MB_15,7101421.11766415,25300763.5710193,14107820.1083002,13399821.8833875,27708005.1338399,17905164.7514382,17349146.6551301,1081174.83303081,2697411.32254881,14746500.2882815,21981020.2858069,1647721.630705,18345363.4999165,36864715.8897509,18595199.6948106,5883444.38851769,6518345.00314031,6414451.56159038,13835967.0895783,20483999.9533013,11375648.3200823,23639593.0956988,9043731.08913645,76696526.6542518,29327199.4824987,6363189.43655342,44832537.8908971,18944515.516694,28328497.3470863,10761286.1438139,28183524.7316063,23405670.6346337,17661447.9875795,22662352.5217438,26563838.0816008,4392004.95565482,12712957.1036122,24415425.6964885,4274823.79495678,37176463.8395117,14149462.8474321,1314739.09528213
MB_16,1180791.92614103,1452327.87502592,664609.953874412,1810844.69103573,699589.157203853,1263137.41751357,663835.638414201,2552245.36196123,474050.891539832,1257883.28592169,1944730.67305844,258851.978276734,1230774.85023665,1990210.70237442,420344.067907883,935285.655513833,1374981.75131727,935138.258293842,2215018.61697656,1748229.58388849,2141833.69882049,1023838.44530188,2550241.35011986,1189785.74472397,1480490.83240368,2320737.21241495,1312789.12419403,1705575.24159407,1352326.10634921,1105951.53882803,1988163.04569654,1201562.1381487,1552295.69861937,1722535.71883343,1453041.58567305,1155911.62661032,590089.224095976,1024650.69643233,1287842.87875781,731720.169291486,2202150.11196513,2329968.92326382
MB_17,3568428.41454651,4625987.67430437,5892060.06005299,12165453.2403273,10136912.3112019,8276958.05887569,15013528.4992663,7998576.05452745,10547867.1251204,11524962.0851737,8731338.27608289,8769282.78043818,29510183.4801013,6982201.3853646,15296724.2300692,8875851.2339787,9279623.08220546,4210693.01794917,7687065.99251429,8651842.3995903,3680435.71667019,16569206.2854476,10591090.1323576,78236607.5050351,5672366.36113186,8876530.54507269,36916719.0757554,9088668.15185054,8240661.645896,8977647.5389743,4976272.76977569,59154669.0709646,4979756.44452562,7581855.04737592,7872359.87924767,10097712.1202868,5492002.29041814,12324405.6755388,7736425.80223151,4306140.1636136,8733874.73590203,40441906.2772578
MB_18,7292158.65826224,7866974.22117929,7377243.49338056,9132847.39001801,6172160.06267821,4654033.66918229,6940705.99859375,14042840.7637166,7969861.72073955,8521060.33550657,8560228.61815234,9549170.15300765,6413710.78010634,6289545.16679532,10430312.7934565,8507918.20039112,7823780.76643202,3106714.27780719,10225351.8857505,4793033.98563562,9088209.78699046,8727149.56035555,6661638.86202448,2623637.99238854,8279341.15989428,9312253.89570266,6425681.0860397,8073872.27746441,3253500.33451053,7618726.4818846,3823040.01862693,7372740.46494944,5986414.83011541,7618536.27509013,7549179.31211519,3653041.01156392,6068481.2835455,8280176.7293437,9657832.3399678,2929275.47846786,8608404.317442,7917238.88459249
MB_19,1955316.20825006,5593511.57040178,8138825.53704635,5289246.9938721,5821748.18743117,5707033.22063169,6071680.06761355,8648359.64869037,9987552.59600984,5842841.11451505,7340411.49442854,5528783.08239922,6175522.09797833,5888970.87622505,4908966.01601589,6099368.7804814,5529967.44738767,4978047.27163911,5859380.92175812,4602822.09990378,4222581.97348065,4079892.47520256,5818083.69449823,6128811.97817351,3672397.86876455,6817179.5247616,4006682.45838965,4074650.73859779,5623669.82787207,4397836.32528036,2602980.36867586,2958500.40762757,5355618.06093082,6099263.32446873,6449905.81575807,3780934.85275002,6862881.5396801,5429245.78673997,4691569.62043156,5098546.84086361,6433338.12158684,6404565.80017018
MB_20,6402688.65881423,1392327.36084653,6965317.0881971,8214831.5812983,7120134.68022074,6925346.18833983,3643550.5174178,12270999.1675374,2375800.63559405,6677000.8080148,5490252.05393851,5997384.93342865,12772577.6764953,6966560.57154187,10754168.6709497,8204940.12207813,3850942.17754255,10497999.0514028,7236020.73141462,5802570.2544792,7557471.0441292,10937085.527912,4638935.90683661,5409336.09882484,6891256.02076881,6372794.4155661,10666645.9778024,5008113.58545578,2312145.14495432,7076469.88967882,10291618.1713357,8351285.74178902,4630811.94564686,5171179.27091057,7587408.38873605,9688050.98265548,8183639.98329701,9685106.46519418,7737061.29068332,4885281.19947011,5207751.63525698,7875639.81117864
