Class,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,Tumor,NAT,Tumor,Tumor,NAT,NAT
MB_15,5038864.180209,3942026.88316657,5312781.25517395,5568268.336181,4112491.94082761,5152374.76525356,4129741.93036678,5121232.68852102,3412861.42803363,5136552.27927457,5742110.15850158,4134431.17477813,2769192.43775676,5099440.34251122,5293298.84032707,4912867.09256915,3081036.98748772,5475747.42033846,4191285.50954617,4295712.6269462,6683756.87139343,5589770.06269322,4860581.04430667,1299069.33546341,2825708.16198633,4670503.28409889,3605956.50847236,5362191.93361012,4143809.32371486,1760010.76267573,2951870.3825337
MB_16,58718766.8042997,76386830.3905639,74376065.4023755,82380101.6034466,137799177.466039,26726066.3200966,83361338.2441563,143288865.064831,213845561.995172,48597811.6761835,92237827.3963165,160546933.629743,231032823.816519,25972994.0036964,180053317.675341,326314941.196298,100111426.433924,202908553.648765,122327977.579862,33137451.0893481,58025249.6930256,81650062.777413,45289687.2893008,167134335.188198,20032239.7135724,118912302.593514,218169813.334233,100201703.546046,166051926.53834,49060037.9274627,386153049.028773
MB_17,116930997.685704,254492933.937803,6117107.27860707,98691729.0962421,211261923.251918,303848421.389931,183886755.72302,226984869.264081,99144991.4883932,178368304.178028,13443369.5642024,180247344.390058,12378286.7517287,42268371.0667657,44937304.6743667,31136969.7897123,103394523.621558,149204791.554147,152415590.704059,43010910.004681,123598139.665408,186442489.519443,54049676.0133978,98850538.0044493,72589718.1404464,84139682.7244648,56250215.0314848,131834514.287167,162005575.068506,10053735.3109571,16920227.4649201
MB_18,196632861.099754,73155594.6830355,177022006.097285,239499106.783543,267150454.246627,99227930.0512055,108392856.040701,17052463.618959,65440733.1329504,77181221.127075,168760314.481913,144111913.782678,19436518.6169128,32731263.8529155,21894002.0575696,111963806.560248,90818937.5008185,13287053.629375,116761974.099356,51438851.9751753,118076978.597013,213728317.790985,86341455.5771018,46140511.2756939,158361976.450958,51621453.2292362,46648753.3895867,51336463.9011631,67684908.3446323,34896513.3524841,96277636.2793235
MB_19,311257668.783407,194921375.045952,214032969.710498,349975466.21261,602843535.705987,545254700.362048,322729919.028168,38370167.6031214,112837788.505894,200277539.150862,106342589.263856,102376684.973254,252223802.793677,25934094.1967481,32101394.3646433,146865529.416957,160262241.90985,64289243.6251657,318120568.565987,174172064.861928,586179806.01854,119600257.314702,64272423.5918047,153323804.329529,310334800.640631,75736925.8907139,33885329.2994131,12900057.8430453,27872442.8687766,77820024.6113326,224650935.173143
MB_20,26726793.7613673,6784886.09053604,5002754.98445963,7863910.13969506,18611644.8183661,11160523.2608202,7033939.5757818,34484106.5226317,15741690.8782131,11053198.9984459,4998999.44638564,21628817.7051552,22467870.9842286,2802817.68800172,2946345.06421682,36247310.1177311,30338089.1314374,10318586.7912753,11936407.1389176,15139940.5030284,26815084.5568533,22937685.8522963,12877008.6672311,5820178.796019,1649015.96372576,14715007.8861791,17443987.8572292,36562566.6011577,2129563.97928381,18781214.0375245,2055692.49429504
MB_21,10091294.6088254,75473784.0963179,45330694.4820618,56061132.6984224,250429034.688426,262383599.688608,20118071.1522685,22178049.1140242,17503186.2041694,51655143.8851886,21754720.2302499,22309347.2791867,7888561.2730807,47419919.3890844,74862295.1412344,21540930.2048308,8519829.96732951,68296026.2373016,27325231.1015452,108992600.449048,312678732.679292,11956344.2531774,14115052.7466156,33155294.9311904,61442145.4790429,7194952.97783238,41696116.6038232,31228557.5472837,21130225.7733455,63743954.3062456,28037757.8098159
MB_22,58287852.6501392,38988483.5012392,307534335.661113,31272978.8769613,103164500.156987,112316656.6971,42442038.6842565,9549504.73203399,90063891.9550449,92446544.9554932,77503886.9202093,63275801.8471864,66093963.1650993,76004915.6320152,10501692.5933079,53749690.4363023,78361881.6698163,58379661.2933345,40721669.6720116,94865600.0245033,59602307.8316649,132810616.188784,32718653.7454003,9690128.45798467,43300105.131977,17003258.8048354,80008819.9945396,70231912.9323297,25723525.7891055,154159690.128978,106125457.210082
MB_23,3623466.50651451,14452783.5557294,19791818.7247924,6964065.26021784,8198736.66761876,9835831.735572,17572716.9837835,2110788.268939,10975930.020538,12755648.2752708,18196987.5771526,16318517.359011,9040601.39530365,11679877.6985845,25458040.4194379,9648505.22998095,13186195.1659071,4861688.90068321,5710863.28984554,23554937.2180473,11719778.6586445,3038712.10586281,2949791.83620238,10275215.1803019,11710939.6500917,10857909.4270192,11442833.3202047,14047158.9489893,17057444.3038445,6550550.35422816,8630166.36663432
MB_24,39009375.804728,7471631.95563782,231952644.535405,159624341.850019,40695945.8225153,141114704.36089,84316039.5356899,64651443.1820985,26196266.1150205,197188547.252395,258388153.10709,99735648.1786026,51532721.6026325,131079635.792717,155261122.845416,172649429.315747,93290241.4646104,114040844.951217,70750171.8178517,93938040.942726,84781023.3457879,69510052.0063344,33708896.7134482,102130119.268753,52677572.124389,80963064.0329031,73514097.2943671,114497913.55227,87996417.7539663,55461385.8023052,41977204.088253
MB_25,253761202.00317,197610911.903391,321880524.710592,326970525.513821,591206562.613224,162294786.967794,77493295.7302073,432544431.486893,168474736.308632,102746369.83775,138391896.034564,798542065.399827,153118995.805564,127323752.378336,704312826.613105,246967370.114967,304166477.591845,81301373.870558,192670469.08871,140475444.984009,336389778.872725,682448670.331473,310116698.091251,394165084.028322,173339661.748574,73628062.4819338,314223288.126428,214014068.891822,168467450.848128,276015450.88344,184702167.426169
MB_26,26523407.6126073,2076334.41776099,30220253.2375726,25448995.7308207,9815582.41857869,20812396.0389278,31102575.4023435,24946669.1523937,20469244.6508568,47469389.5805664,27441225.3425622,18126469.3045533,39951821.1442062,12950738.168614,13525354.8631549,32456651.0356517,22006665.0572848,28931392.5495769,21337497.43697,10615212.7422227,33551549.9744456,24256566.3624048,25915828.7848964,33158876.9173475,22074649.1834971,8388439.2542371,19098662.4494639,19086957.471901,20063463.9955832,26999565.721985,5184492.24938098
MB_27,948188652.547854,1732967508.63297,564627307.424035,909816813.440195,726757034.336981,975207593.49145,857828935.078962,35601386.4276404,237774414.591815,879606771.132763,527497617.722088,870538596.558776,619676321.861759,565189089.375334,186286165.969073,226873769.311299,308288066.527646,548433285.427941,624466317.25905,277973644.634448,649283436.094992,512916359.732832,575991290.140263,121270812.146522,477413739.643836,239395731.208262,119268108.156917,396585775.283591,347669925.507507,123447022.032838,845659603.592209
MB_28,1254872.32467314,1775693.51232874,1127124.70593301,1152477.11043732,907961.012675626,2163811.89314527,1385822.6955232,678702.554720169,2092230.40431002,1430387.95720408,1677710.81080686,872050.063384654,1533422.44672838,1931774.99166459,417369.96392827,1773180.71742833,1054209.15262721,1118164.34432545,759890.152240378,1056407.24647097,1333820.72746938,1208150.09200705,1362353.59718623,936010.782765047,1795741.49941718,1118893.52939673,773545.406805412,464200.507253204,1261487.8480209,696226.096464474,549951.56684522
MB_29,3636472.12686776,24355691.690992,35006726.1214558,2881553.997693,26224885.9807414,26060789.6759923,19437566.7386785,17896077.827072,21525374.8022208,11151173.9887243,5324534.6216428,10853390.8669076,23665986.4717312,28957797.8721623,12665165.4046096,18795066.8570213,7411763.58975917,2830763.31200358,9478775.06025285,12525795.9095835,23254037.7165867,12637904.6293298,15905624.9063371,22207851.3590535,14740984.7716546,17133269.1995495,9943359.94828968,23809329.9847972,4758888.08916535,36625761.0824846,7013170.82199056
MB_30,35277135.003533,30747252.5360223,4267108.1716364,23468358.0387475,34846300.0178259,41232489.1091435,16020931.6414035,18842546.0342917,19958976.6401403,38530775.1777296,27979759.825068,27540304.8339047,25871977.3389493,27813783.8452622,28813303.8314248,31279972.4813892,19907896.2947656,17768051.9666823,12224908.448847,30816664.8976229,10538078.7935076,24202147.3718944,1665836.2181728,22132702.840224,26053919.4140498,12050410.8471089,21613847.7658651,32466826.1199452,32533145.9785735,12531988.6212209,47373530.5172921
MB_31,23398227.6795385,13402661.4938268,8312481.44099954,20779115.2306964,8615181.54182487,5764043.52974422,20678846.6765719,10505553.7888013,17210546.2292169,15224877.0627029,13890565.7419572,15369794.6861151,16337188.8297392,10354397.8093885,26031228.9662062,13810079.8753621,23572947.8556973,11629673.8423666,17617646.9826973,10256747.6033781,17077378.8777631,18315375.4733369,8548633.48684759,22738975.5834314,12149538.9122884,13913372.9722501,4203506.69030559,29936881.8864984,11242950.5139672,15103115.1772012,14976790.8413123
MB_32,10838546.3623125,4341273.95693215,11788535.4902783,9130542.92273001,8808610.28992185,8390394.62093646,8386380.66629692,7022371.0160708,9918498.5112447,8711403.34296082,7220447.15994073,8674584.69844901,11845524.967214,8311713.4504221,8203115.61914125,12784031.6420129,11390954.8001086,2135477.06545869,10850738.676088,13310408.2803728,4604792.03627474,14376322.116754,10715810.0142925,8347087.45866417,15102786.7202272,452616.68630899,15830010.6961884,11635003.2546961,4953432.04034946,12907799.8354565,8856742.91485126
MB_33,162238190.003838,13895564.9323524,125072196.823178,225852677.883121,177690895.136397,142614023.695836,153501068.055351,131204937.310188,152592850.646713,206521578.669284,172871761.8085,220716399.37077,6643639.24459368,255453728.899967,121087293.83259,183873448.802732,210082132.486024,121809157.603194,140041188.031264,142701681.119443,178117037.345768,150858401.679763,174664070.319595,145665751.845626,168853739.36378,221671572.658146,32023874.3968427,116666719.612026,126033303.692681,318104768.222797,42843044.9579864
MB_34,784743690.979471,375002136.010691,932284388.617399,1237064712.98504,846542075.36885,1158240760.06314,803188584.91735,1320210340.76534,1160708377.67223,1046985369.21861,770882955.426326,1256406574.21025,1295987062.70677,1199875572.40248,2062822751.03348,734491267.643394,2676946980.09805,499373074.228402,3961812794.33852,3029262239.52939,2345828377.93459,3196984454.39428,2727404332.41047,2486392881.53257,2208071391.25783,2493465974.72167,2471492184.37735,2492924474.55437,2530194737.18027,2864517037.71156,681058101.011997
MB_35,6478417.60016245,6534863.29755606,5898588.61093184,10523472.3805287,8412152.72130862,5133265.71881616,4357894.73507762,11763907.2713804,9508626.50824568,4236179.99664084,7567469.55018174,9538522.70322817,3789309.57283907,5155827.31585972,6084015.08268555,8445298.08907718,10690842.8549845,4937387.04947076,6062772.72718485,5386435.21209845,9191296.98075742,6292816.67258398,5092252.37733818,6447993.68285566,7367495.54183859,6095625.18990471,5287307.0723684,7958972.99198168,4542459.75393856,4406309.28340313,6124842.77445429
MB_36,25343786.5528498,26657494.3428677,15432230.4735496,7138504.52060032,33551036.7602887,7870243.37458051,35345799.4008508,18068028.1936309,4836191.97652147,28493537.2185466,13195316.9541694,28812274.4296897,16608515.0650179,18953480.811784,28533833.9709132,19410691.52922,19396571.4610587,37019662.541858,10834033.70023,49581378.212662,1028847.78484006,28222450.3980641,30658351.3695671,10758245.452728,36373695.3620863,34152016.3592954,21142663.0893981,15921326.9855301,48788967.7768395,43150886.4261421,31172096.1717112
MB_37,982001489.559767,550054489.301411,754682442.027355,942208948.543493,1019358914.45341,1075638100.65245,195523129.33714,556834914.084204,281483389.428075,899053305.232951,790697293.555034,437862235.295395,521795818.464847,661614710.477961,1381754230.97984,39385321.5872861,649809208.265315,1068707123.65509,706295734.58711,269813557.315568,742558831.147168,512288735.650133,664187886.422802,1111080257.31331,204644637.364464,1158418417.50457,330435958.85752,570187997.381626,486321828.77338,1201676925.89708,1085155408.97769
MB_38,13969224.9118126,31076079.7805185,19060501.0426873,23302584.6495401,16193536.5077024,15645991.742317,27815842.2773523,38670358.4444209,26851805.2052699,16753808.5492288,41702369.8957102,48700206.6626489,21700846.2541692,11412086.0293112,37984866.3909426,39169878.443135,13479724.9988758,20539235.8729031,6061372.48357859,14764043.5771384,18839831.8969447,27922831.1341585,4239546.90556671,14609116.2804987,20917468.6165609,15195935.6670999,14986225.5286753,16133533.7695076,14513537.8712662,18050162.5411483,17732517.4814894
MB_39,23541411.7924542,27312174.7841081,41680516.9424363,100117612.149767,4414274.30700018,31405058.8025197,92212961.0668882,10238220.3901346,13095434.6874583,61104632.2242314,2004517.27283272,77114543.7964523,73979663.785702,33431956.4115996,78508317.9739911,121186379.301703,38571490.8918832,34505294.292271,98069338.6528099,59327955.5127005,31949096.3014746,32707692.3689692,1469481.4175574,13552514.1974748,63995492.8224109,45268984.3517706,45935754.3539878,52479220.3903472,1547369.908473,79346248.2192673,10857084.1421438
MB_40,15756924.597013,19527131.9351268,16370096.458112,16900341.0018768,3623102.98813641,23011746.529869,7503879.05476271,1518805.98438698,5987685.81819987,8816674.89297598,23962493.87689,1319125.77548939,22212571.680372,2547926.2938936,10252953.3387879,6332154.96350104,16781259.7880315,14812940.9584978,236828.519859679,12091133.7864711,15658598.1927442,1494179.05891162,19928064.6044787,7959026.81885947,2998517.74768195,8175797.97002747,7763310.27598339,13217357.5137296,13450034.7221116,1193066.21450056,9800766.48134467
