Class,OSCC,PM,OSCC,Normal,OSCC,OSCC,OSCC,OSCC,PM,Normal,OSCC,OSCC,PM,OSCC,PM,OSCC,Normal,OSCC,OSCC,PM,Normal,OSCC,Normal,PM,OSCC,Normal,PM,OSCC,Normal,OSCC,Normal,PM,OSCC,PM,OSCC,Normal,OSCC,PM,OSCC,Normal,Normal
MB_11,14289104.9019673,7636602.78987613,43362475.0194459,11494474.3514706,15941079.1529676,27127015.9692592,26370741.758013,18634829.3206127,43339027.4298221,24117780.4668378,44747220.6384065,40668958.4772586,41414216.5066769,48668770.1204571,39848957.9906606,20760815.9449252,34492334.2912771,38291820.8202958,11733998.1207061,13127433.8262473,31683511.7458061,16580891.8602705,12760449.3674584,75128491.2165544,16980737.2035947,25590950.6311478,10260331.4104693,42264991.9253816,29117225.6255841,41338895.7603116,46907316.2624624,27834237.1987468,17286213.8784532,3895505.25127284,34817303.998123,31353790.9166018,936621.237411369,32380352.1598657,18341349.5531928,13462090.3528283,53766517.4038018
MB_12,15969499.6220222,13641215.8134068,26512545.2132479,19496274.4695231,15899688.9776899,9145267.99795121,30645033.1415195,30884035.356976,12504975.2833722,1153144.39521038,20539292.4928013,4085480.37625524,13932213.9928668,25354456.5876967,22941108.6788298,12079342.9282467,13875341.9574435,24859584.6097124,9049294.11062739,11206467.0446613,8317626.48111461,22308372.0833147,15207894.2211471,24435810.5722563,11414756.3401679,20522367.9080833,13823997.6452668,18583287.4513433,23597339.5976959,20860429.5231651,24347107.7175156,11703367.8968759,4912824.85055862,10866594.6847012,15206481.420546,21252643.0891033,15761017.5596648,13339314.5180229,10753188.912033,16844327.3056394,14647598.0837551
MB_13,37802064.6444977,56157330.8711424,37370262.4888607,23186562.190434,27528047.8323197,40890191.8781645,33778534.3820135,141324617.60907,99957657.1976946,47884824.1916183,69534706.9669759,106087147.20979,58808766.6880058,11795534.6329203,16153401.3695686,43827085.011766,55779544.096477,36841434.3774699,33689103.157933,93484091.5394168,101995392.547495,66969719.4841118,44024886.2963069,22400463.0014296,113836307.965867,60173494.4841214,105300776.488761,59957129.6100212,13107156.4115786,124712549.723937,3885745.82631533,29757740.4770799,17430670.4710939,73928245.1154708,73343677.1800633,47804317.0745521,85411426.3250718,75951086.2573716,32481718.6122754,95865117.1475504,74576319.8112632
MB_14,7166948.46672563,4630464.58433782,8247014.70388826,7381577.9282064,7841195.03390474,3017251.76544947,10494442.314862,6183019.6897391,2349054.71572991,6011066.70823091,8550305.68411088,5196253.17631075,6461854.13175467,6164142.67465352,8864137.13530305,10575273.4830178,8212444.31322446,9943717.63511612,7944321.52493728,7729945.49785986,9896759.83328449,4974017.93236567,7270361.00903508,7225745.30108574,7549611.15554212,9846510.69497911,4923386.98272154,4465467.43077353,12480089.2411496,10816033.0377262,4867215.00066412,6996493.47531166,4736057.05276381,5113928.05762462,7739540.33416033,121193.112333601,8541039.968849,5115927.48760818,7259926.59095549,14197864.3664541,4872334.50002083
MB_15,5038864.180209,6046268.27928993,3942026.88316657,5312781.25517395,5568268.336181,4112491.94082761,5152374.76525356,4129741.93036678,4037193.96010754,5121232.68852102,3412861.42803363,5136552.27927457,4547216.20382114,5742110.15850158,4452760.29937115,4134431.17477813,2769192.43775676,5099440.34251122,5293298.84032707,4141173.78270431,4912867.09256915,3081036.98748772,5475747.42033846,3885920.61980562,4191285.50954617,4295712.6269462,5183987.96794152,6683756.87139343,5589770.06269322,4860581.04430667,1299069.33546341,4803492.30872592,2825708.16198633,4429007.20275185,4670503.28409889,3605956.50847236,5362191.93361012,7171384.02608076,4143809.32371486,1760010.76267573,2951870.3825337
MB_16,58718766.8042997,109750552.851746,76386830.3905639,74376065.4023755,82380101.6034466,137799177.466039,26726066.3200966,83361338.2441563,51250078.4169733,143288865.064831,213845561.995172,48597811.6761835,858698284.169882,92237827.3963165,876908664.915494,160546933.629743,231032823.816519,25972994.0036964,180053317.675341,117876871.451977,326314941.196298,100111426.433924,202908553.648765,798902536.864569,122327977.579862,33137451.0893481,466763793.228105,58025249.6930256,81650062.777413,45289687.2893008,167134335.188198,742831560.24947,20032239.7135724,106284187.141704,118912302.593514,218169813.334233,100201703.546046,125079551.378786,166051926.53834,49060037.9274627,386153049.028773
MB_17,116930997.685704,45997019.2408171,254492933.937803,6117107.27860707,98691729.0962421,211261923.251918,303848421.389931,183886755.72302,66076511.2637022,226984869.264081,99144991.4883932,178368304.178028,569689588.503938,13443369.5642024,938345136.768191,180247344.390058,12378286.7517287,42268371.0667657,44937304.6743667,863731703.363578,31136969.7897123,103394523.621558,149204791.554147,1290693310.97851,152415590.704059,43010910.004681,847974250.760647,123598139.665408,186442489.519443,54049676.0133978,98850538.0044493,1040705192.47226,72589718.1404464,64368843.0896974,84139682.7244648,56250215.0314848,131834514.287167,207073282.467298,162005575.068506,10053735.3109571,16920227.4649201
MB_18,196632861.099754,11649423.1719849,73155594.6830355,177022006.097285,239499106.783543,267150454.246627,99227930.0512055,108392856.040701,8298905.1830918,17052463.618959,65440733.1329504,77181221.127075,84123965.1490188,168760314.481913,36166074.6324307,144111913.782678,19436518.6169128,32731263.8529155,21894002.0575696,60163634.9870807,111963806.560248,90818937.5008185,13287053.629375,33353350.19684,116761974.099356,51438851.9751753,52352059.5919713,118076978.597013,213728317.790985,86341455.5771018,46140511.2756939,11719100.4613301,158361976.450958,94444504.8121167,51621453.2292362,46648753.3895867,51336463.9011631,63408486.5391318,67684908.3446323,34896513.3524841,96277636.2793235
MB_19,311257668.783407,181774578.495455,194921375.045952,214032969.710498,349975466.21261,602843535.705987,545254700.362048,322729919.028168,117553114.171506,38370167.6031214,112837788.505894,200277539.150862,118948731.414236,106342589.263856,241143781.927815,102376684.973254,252223802.793677,25934094.1967481,32101394.3646433,181520983.220825,146865529.416957,160262241.90985,64289243.6251657,256630373.869185,318120568.565987,174172064.861928,18489963.8902993,586179806.01854,119600257.314702,64272423.5918047,153323804.329529,6797322.1239306,310334800.640631,572762898.018705,75736925.8907139,33885329.2994131,12900057.8430453,297693957.642534,27872442.8687766,77820024.6113326,224650935.173143
MB_20,26726793.7613673,29343375.4858632,6784886.09053604,5002754.98445963,7863910.13969506,18611644.8183661,11160523.2608202,7033939.5757818,15183012.751634,34484106.5226317,15741690.8782131,11053198.9984459,23297153.7364024,4998999.44638564,3045783.94707105,21628817.7051552,22467870.9842286,2802817.68800172,2946345.06421682,8922781.40149623,36247310.1177311,30338089.1314374,10318586.7912753,8959270.20836889,11936407.1389176,15139940.5030284,15195895.3575474,26815084.5568533,22937685.8522963,12877008.6672311,5820178.796019,20614041.868479,1649015.96372576,22109730.2972531,14715007.8861791,17443987.8572292,36562566.6011577,14932387.2192999,2129563.97928381,18781214.0375245,2055692.49429504
