Class,OSCC,PM,OSCC,Normal,OSCC,OSCC,OSCC,OSCC,PM,Normal,OSCC,OSCC,PM,OSCC,PM,OSCC,Normal,OSCC,OSCC,PM,Normal,OSCC,Normal,PM,OSCC,Normal,PM,OSCC,Normal,OSCC,Normal,PM,OSCC,PM,OSCC,Normal,OSCC,PM,OSCC,Normal,Normal
MB_289,4613091.51087465,6013984.49917471,763481.985620009,5965824.40839404,5392829.95621953,744291.287100018,5695304.73663586,2475087.04451703,6727516.30778632,4848609.0297909,5680932.02950574,7120109.11927314,6844285.30894431,6519146.64225653,3146955.3549097,10542881.5713793,5715619.39525013,6161372.39256428,8107450.48913177,1723259.64450791,4029791.09857004,895243.803926582,6093675.67911891,5872549.447698,1554203.93405167,4925443.13324334,6751257.09310149,5988508.32262728,4150667.96378381,7826583.29641731,5085059.12546566,6514614.80152862,4851194.92740551,6003984.90236849,8314207.69499281,5182329.83868641,3594887.67376977,5520683.43745112,2698170.09339301,5879785.23481886,4561242.20467277
MB_290,6398192.6566707,3886397.05943377,4155641.27846116,5300181.10135909,3785968.70069813,4724744.22176105,3029397.54212877,4557087.97699772,4757616.59145187,4514922.08500522,4891964.4284075,6536136.51720846,3341463.44013438,4222770.43483167,7047818.34394962,4376720.44243657,4502350.9431387,3677998.63968244,3958084.81023637,6640684.72016216,4000335.86493716,4865322.96973535,9942201.35838375,4837879.58287864,3607253.28395368,4100287.0003344,5194073.79743316,4989903.20859744,6023062.68139005,6133616.69057652,5533522.70909271,5345776.372567,6346883.89929343,3350338.67036147,6462227.08227064,4766250.26347568,4484463.77236572,4996109.86786531,4451559.3065274,6355513.34806756,5656521.91434643
MB_291,10221991.3319392,11942984.281141,16696975.2450375,11800327.6283932,10617705.2846051,20791338.0958847,14889919.1590434,18315556.836973,6898576.04673955,6129726.30525763,15934560.4203039,12596142.4803126,16860255.3547292,13970213.6249264,9115675.13291419,17653053.9286474,13862215.3738236,16029988.8157297,17259940.4115203,12343466.6728772,9913462.24024787,7867415.99316553,11675591.3633364,13695855.4134738,11767564.5422529,5949551.34345767,5264071.17537909,6770638.83235018,905229.438449405,17155604.3887288,11442990.0592862,9601900.02791995,19517651.0740333,5968206.57042825,8914575.12007345,18766500.3260925,11938902.3361287,11048823.1455022,16650943.4141128,7997261.3164019,12300739.1163845
MB_292,3601666.59993192,5562151.07438959,4619141.24529394,4891628.53379217,5554018.81762024,6753461.32268924,4288715.34061656,5222978.5623755,5832479.51208263,2915606.10864908,4065126.72106511,3860121.9073209,5982701.54942762,3430650.12431963,4444454.33330047,2038088.16978836,5315315.61896058,5630496.3968046,4386524.45101076,3402070.2484663,3536652.04174618,3682570.89418121,5271600.41707068,4332714.33834116,4137449.51446785,7109810.85721693,4142842.91682366,5088182.91896607,2980665.50621259,3651427.19751128,6593623.02691488,4129145.56494483,5166768.90420665,4958935.75919796,5465256.88007659,7235108.39454762,4870869.96965309,5604082.68654723,5355555.12200126,4439855.10635798,4513534.85462539
MB_293,5346534.75463722,3210099.77781389,7472320.58562488,9082902.55549647,6612980.28930115,7577207.02009251,9276109.15721697,7580050.49461588,8667696.98034985,5610116.4785493,9873396.5032855,6275007.34566068,8331843.6889099,4780965.80024763,6776042.47868065,8114720.87714661,5257747.52969186,7408150.69158652,8650019.73667633,11255058.9656215,8367430.01118139,3570002.67609648,9510799.17642692,6852170.11267007,7533185.41873459,9292324.66989802,8296583.60268314,9275313.87878837,6535765.02247653,7633971.88650065,6279601.1789898,5614296.00160123,6480661.20603748,4508367.23121778,5179586.76148564,8376883.31190668,8974719.04947083,11179060.5107528,9643455.94657764,10667754.8152238,9037692.81702156
MB_294,64236463.4763592,17892352.57361,47885705.819297,45602666.5523383,62949709.4689656,39594412.1939846,60297634.5640571,60097266.7466803,6023984.48223364,80302215.547412,95036651.7610438,5690293.23675082,56944144.1953661,57658331.0018075,38893113.452191,38888181.9252114,25883879.6927662,27877088.751967,6648715.10244097,43036553.1356787,60223587.2327886,52368114.5850582,32145066.0363375,69446095.3635174,61521344.3797814,54984683.6804944,58749814.7586843,96126138.8446054,34965144.3325509,45147142.1326606,25591972.8531171,8620860.12396513,19340282.6108251,46711020.2500101,36176167.0639579,15722185.3853025,21619324.0030213,353365882.098726,48583013.2301467,28328529.0866999,109913273.933068
MB_295,7268224.72340756,13540359.8504636,8569153.86247523,10803522.4263372,4597666.86166236,4192116.21537914,9056828.93089181,9814086.17369905,11561375.6088543,4871724.39395552,6005114.88440632,9785325.36210478,6173331.35293336,12706048.9045934,10050102.1761162,9752438.09453624,509403.804908209,8072917.45450703,5333285.82971291,9237991.17551658,9630912.71866832,5751599.85233288,10604828.0156099,2535822.35150281,12811167.1613549,9574654.88052416,12988648.7043548,15169960.6129465,7579275.83941464,7602725.58514496,7743716.86231704,9460332.2495491,13757169.7883387,9327668.63582912,7473549.13161241,1501773.06433586,5480064.04565622,3389227.82738573,5618675.14556071,7887065.34770192,8427053.61678839
MB_296,22438570.8506275,15667716.5313883,12701898.5215153,21894184.5030093,28892780.2942986,40770385.6246007,27992678.3653828,30409805.9070584,20542299.1963066,30709714.8525989,18653399.374519,22031984.6366092,21704545.9524958,18121621.4620698,27132213.1948,11878537.2886966,34640799.4646326,21096230.5886882,19465530.7025574,22587880.4053272,28510846.5519045,26835512.1860532,24368266.2794052,53564755.900014,25574576.2913226,16588579.339113,25408182.2172148,3540026.52854041,9914433.77314472,11631180.7789402,6854288.03429712,22917637.2091117,28910414.991264,26891781.2268123,19673868.8025065,33634149.5892552,12167653.4864112,29136572.9205876,10777663.1291199,12388422.6891428,6964412.37048583
MB_297,31256738.6256223,27517869.3045112,68805358.7190803,26869667.2481427,41817566.7991728,16003876.1361995,78793554.9165357,80871630.267308,20915943.3335283,57763948.9507474,42068453.6177215,162627895.038131,27282206.2907745,9238000.9598076,63935187.3027009,90698744.9125161,8535684.25986238,24210225.8659504,42978033.2550619,74958773.9358263,33289763.9123349,58173164.444883,86959620.2096447,49224569.8032324,109662899.988458,122901457.172711,12312493.210458,169828363.733808,51371893.1580932,16798425.5398757,32574525.8108104,17134684.0046142,38076854.0606493,24373422.5555155,166951307.417714,6491103.09688533,76637586.5074041,42700126.3846666,63105231.2731064,9817047.43939182,45444579.3012974
MB_298,7717755.50507726,2856702.17639193,7864881.35995017,7152365.68065486,6020268.41126482,7414999.65660471,12692724.9885127,8701386.95683853,10863251.1776398,7176565.84956865,5790570.95721019,5377615.8402691,8618718.13083077,5922692.14691437,6793358.21433913,9265632.131099,8066935.59576976,6079589.31396494,7187841.45485737,6789746.16025019,14266884.4517787,5786093.18065011,7465105.47672767,8003546.30024783,7269920.18991772,7644424.32193384,4221692.95092515,9611609.71061906,17286116.2214875,8360232.71652959,8565869.93028122,6935025.84029056,14258026.89171,7670622.18025422,9170549.13743715,35563027.907666,5720467.64742187,5893169.66768709,8011764.38049207,14766833.3119526,7185007.10638819
MB_299,13269025.4739799,14009296.6373925,11454246.7458223,8198704.37389482,4697768.51209802,6310762.7738891,2871982.28020861,5539234.7484117,16686025.0044254,7869433.8886165,13002656.9361281,12820934.8974246,8464424.94754597,6262321.11316384,13497912.0003529,6534428.30636083,10109657.4870098,12870060.1923336,12079179.745279,11738598.2890244,11996239.9856353,13429606.9503038,12131984.5923996,11144675.2848395,12261179.9047052,11494474.6585611,7877568.82679466,10238675.4870845,12222960.8421977,9740408.57391252,9350895.94265787,8378307.78789552,11600560.4487571,9513984.56840224,12370760.8117403,11232420.556993,7252749.82001768,12203089.650563,7720340.49204958,10304016.810598,10795075.718158
MB_300,6968616.89590819,6687777.88818324,6391422.49900111,7395950.46860804,3157133.13090257,3537324.00278106,6125222.8668662,9410008.23606816,4864962.75237689,7496303.56304613,88694.0554409102,5267034.19180403,6349168.85043571,4666775.84352509,6098053.03507073,4568761.21039823,6543182.40474902,5743771.89336125,5639973.26541477,4913678.65166698,4254190.57035047,6148575.03083394,7132020.4948562,2944674.35815491,4225165.59128805,4262742.68639672,4946965.83933693,8510115.72233641,3182397.35128826,9542159.97553282,3846619.12869097,3226571.81455996,6367035.49788309,4692297.10466438,3843659.98199852,1602860.89811169,6624218.32797343,4662553.54577354,5645447.00718351,5149680.61020666,6314962.78776529
MB_301,7751052.88415955,8631924.24871022,4220192.21009977,6607081.13410181,9113257.50748823,4832771.61601877,8411928.48826853,9324410.63819824,8683160.57978885,6195510.49975616,5982106.31478735,3563501.65531731,6405471.70864308,2798298.55117266,6901394.30367703,6573873.77713934,6648645.92722116,5730943.20433331,5277486.65624319,8382342.44255001,5941255.30822769,5924745.81312648,4626977.17410904,6613310.68761476,6823892.34022116,8006208.88488292,7133711.27311586,6342489.90974285,9372291.91821913,4916156.01055117,5849859.65961867,4025289.51109902,7384626.70034291,5432466.2999776,4444357.42844766,8621143.31552486,6246414.07938702,5458031.25712674,7398312.32040094,5256327.56307146,2027606.84060395
MB_302,3497939.14299183,4828117.04676111,7160566.80091178,4881386.61423716,4575058.089768,3368582.21535793,7938960.28866032,2593467.69139241,7122735.67422165,5813227.39608348,3996929.14905398,5903121.10580525,4463439.8241889,5501750.7245337,3596854.72625332,6004856.8351052,6150672.92313205,5205155.4748494,2254792.64682532,2689873.63642369,5452031.67905149,3996907.92002663,6897864.17466772,2882848.91927719,4086699.68185584,8110790.37672408,2961211.50963547,4886625.3595023,7639784.72889009,4265733.53838909,5109659.43134671,7446557.38437657,3935895.16081801,7810915.38645432,5722373.04332798,3994554.49415474,3791487.27166737,2682208.47631983,1830617.94343613,3748655.81119645,4643789.96285548
MB_303,6498675.48370827,4494365.63491003,7306464.14959406,12106623.0179279,8646426.81910837,4710731.57449789,12108331.8504582,6620954.01255743,8679273.55682242,8535974.88545845,1752633.76436757,7341312.94399225,6881605.41488523,8947566.34849212,8571969.97662459,13662887.0922028,6609296.94761118,7058591.73943821,7786907.75455669,6652049.61515285,1910216.66180506,8419924.27879639,8139954.89917767,14363197.0870349,4321753.47958911,5672879.31047845,1619201.06158648,9440934.1613305,10320379.0794578,2576148.16688308,10457887.2731718,1384647.00613074,9038751.67130428,12083798.7408945,10440192.9033904,11577530.418589,7247951.62279757,9273683.83354386,2496893.16184255,8322067.62494782,4443138.70584877
MB_304,11110537.7468471,12569095.1423553,6598674.24603738,18522930.0613291,12295404.0491677,8426968.30159426,14994390.9945095,20736217.9882598,11860864.0611922,18584236.452292,15971149.8954311,29536288.3407725,15977617.5812371,11672947.3103264,9713422.24428163,15429632.0997519,21270047.9848464,34416073.072696,8216112.56941894,11647101.4349483,10289266.4984838,9829762.31750447,404134074.458569,12423264.1465633,20460151.9045025,18356401.8814689,5196609.20129791,24461156.6351685,36713552.2503702,39692712.3501161,23153747.3484875,9237120.26830107,13620548.3402191,21024390.0121684,36900773.2580658,159585184.690651,18579833.8059822,5401632.97290066,15871449.2590411,27225156.9662254,16470001.1176517
MB_305,7826464.61110655,6525232.73840383,11811973.2402457,6312626.03023963,5772095.9790265,7050804.40575163,6104442.52497903,3793006.60876649,1312752.70652819,7411239.43795549,7478606.01657092,6639654.78966915,8349115.83367047,13757256.8666406,6991000.88641515,4968672.24257804,10096425.012389,6893616.6249721,5973448.74431281,2286881.84047175,9737548.57601261,5702188.03510714,5151999.87852564,7663736.01918401,5779305.54306614,8252178.44849604,1596197.49955184,6895281.52086578,6057938.574006,4587913.03314218,10129975.0348471,4444021.16989251,2480371.58314451,6609514.99502337,8846621.04207559,3975073.36468335,8978672.06089564,7952550.72349697,6682570.92242149,6481509.26646803,12521086.2056582
MB_306,552397.168727566,7025262.52882584,7647173.63625751,12936803.7126422,6741925.24847376,15978569.3258726,6116230.61682951,9773091.83195808,4952474.36938794,4240820.65317636,12574604.340185,8818087.62001217,12241360.6714517,10932363.1792991,10583804.1513328,9367372.90786132,12263002.0163923,6063641.98020832,5570590.37128445,4593710.26198723,10220432.8733361,4970785.81750452,9288815.10926488,8870473.25852654,9778126.07513495,2693372.30762367,6082493.90076607,12729523.5208643,5493498.47129994,7193008.16490941,7526031.96202357,3627303.03452243,12625934.6894592,4201370.93784481,8340330.40457111,12783010.5530908,7702815.92185252,10304184.2237529,3033859.86218665,2714798.54583389,7418496.35371757
MB_307,7864913.03558899,6791687.99606419,10844625.0604479,11545690.0441465,5444570.18480477,3367738.17715341,9703821.77564994,9271031.81124872,13114652.4849027,4189808.60766501,7972836.81609648,5454642.07251288,8967626.74879517,9056400.11081573,8205905.50482108,11210194.3186229,7890636.56216558,6014435.7261122,8353510.2413929,276288.912582782,5302034.59138957,4188219.49902914,7279984.16044139,7169670.95262715,10730433.3031308,9010305.85705272,9349739.32603806,7244544.05898768,2802937.0526128,7670154.52853992,6965502.85219385,4871736.3726872,10411906.2241603,6456621.00438309,8541452.90994029,4566391.25988171,5504701.30128335,2757315.13645045,5594164.98024331,2919090.135129,12893470.2797149
MB_308,13703658.7453362,4599147.90182723,10947376.6602011,13264608.8741382,13609322.0289902,1891307.98112242,9627928.20211912,1753720.82568712,8782621.16333288,6677364.24136759,20224436.6816991,23146905.6075023,13182046.4298563,32598772.4280517,10888884.5542432,347332.496037815,9322750.5152971,6702419.62348343,2794127.51851814,5584051.28430891,3299010.92967762,15216005.4855346,10426066.5380916,8810220.94830081,20305896.0266755,24348024.1010285,11146813.5224341,8433901.55283498,16072236.0944762,4432482.37148857,13791478.3155614,17058150.8124033,17289122.7073581,455035.828610986,6641219.20556897,14024171.3387811,15442285.9167327,3892901.51901937,11335287.378013,8807656.90680214,9226338.48951345
MB_309,5476870.29122005,4653998.39277023,4392284.10663353,1408234.60842149,4328790.27969292,5617979.44854765,3086855.98180919,6732913.98032557,4518366.54283683,2495263.07425675,4527081.19766266,5374885.03837441,5882881.01205509,3902708.61058613,4136328.83907914,4161817.98722495,3685191.2273538,4713836.2023358,4068302.84909817,5947154.20051529,4066144.94688972,6500565.38991837,5721619.38796227,4307967.11052046,4256289.28688443,5089051.56606472,5243272.31525755,3027581.00932158,3320083.49717754,3743939.66790253,5558660.49615361,4925621.30166944,3433564.94054613,3576946.69553053,4055677.13504162,5197156.98995637,4522498.16531623,4141537.58287144,5334787.69574966,5318878.95178392,5061066.99961793
MB_310,3888333.71593846,5770042.19458287,7434032.65853516,7162012.04504891,9853321.47283564,4163625.39915906,14168638.7458294,12828057.2459849,9142023.02692745,301085.369238528,7472490.0328326,40210165.1197495,2459198.79562553,5223117.92540084,2978756.19247448,5757049.16798472,10102781.4397024,4479073.75334753,2371268.61980206,7200320.10454605,5489414.61342672,15706210.8759448,5472732.95290803,5732672.9731445,5064752.83256499,6918670.22475417,6796370.42868821,7355779.09464799,9046603.8002902,8567765.62715777,5891369.39013248,7511867.46360264,7791290.59866055,6804526.63781522,13415039.7324919,1435953.44714858,6967486.43588726,4776668.91219876,4771192.44539467,1796654.45802144,517778.683226384
MB_311,17517086.2786519,24922079.8787357,25767706.0128721,27036325.5474451,21668140.3074255,36049297.1599548,18841133.0866451,44797594.8949328,38750101.6911951,21935924.2000033,16661001.2064117,22565874.3803905,8612222.26412692,8831624.45863171,36168573.0338309,17043757.8421831,13324283.4725147,33319302.9326629,39709968.062229,24908496.348032,8691431.10479446,12914884.290636,23668713.7276784,30792605.4135857,36509603.0545439,5714795.48317796,39087703.2002821,12798429.9078878,16645372.0211641,33499030.1235891,38134378.2114756,54359583.3876901,25309789.5011254,897341.864998411,31790777.3150515,46637451.958942,57176611.7174165,38080562.0111033,35150807.2129967,52117044.9272987,45451265.1987588
MB_312,1500629.44558185,984664.291639319,1347666.3869275,703587.914328489,1300707.90321269,1238490.02365395,1882713.95248741,1547116.28009966,1605754.74252649,196254.897068294,1479639.11278482,1210556.38963856,1128594.42649967,1315293.51438774,246093.515947214,963424.325204547,1087658.35276627,1151617.25618342,565186.007309739,766467.210024926,789856.995435733,1135651.31308106,1073317.49519527,1357659.56877281,297736.819899209,1199615.50944456,967271.80135356,864393.034621821,1529460.94919779,1031023.1010689,849779.205489048,1025876.60156791,1315679.37601581,1746430.34564456,990758.480225909,1324856.15225466,1574136.86241829,1677191.76289302,1402315.87579355,445228.334101033,1733926.67055624
MB_313,14180669.9756617,8968382.64711368,2450753.59662498,11650019.5002722,6028871.61061797,11978749.0865771,6201008.16933718,4062516.52813128,7176114.40166907,13550007.7452644,6545993.58389816,12988719.3672968,9087122.90732814,8519627.64121986,3602265.8725568,3848678.40725218,70913.2046143785,9223359.75065967,1509171.31862177,7958872.40729077,7065471.8212581,8397460.78668343,17420981.2695509,11159532.0581051,6602072.22341428,14035567.0935283,8368786.8765041,12024082.2921096,5626000.68788361,14342299.1339051,13981375.9232119,10295897.6005553,4391454.77468283,12663285.266652,1840090.36493989,17144265.3640318,9425492.28146493,10109641.2164237,7260869.35942043,8538379.60522147,2043600.22770232
MB_314,17067044.8733718,14509272.6456963,15181583.7347706,28067448.5013025,12583319.8205597,9805550.54523118,21348076.0721062,3625154.19869225,6206051.99220524,1824107.3346347,1921380.7210119,12809000.3280229,13607492.8419691,5572792.9825871,19952223.8597842,12098556.5702397,5115075.48267424,5007259.08874935,939320.228055594,8828046.52696778,13769172.9727823,23006026.2986711,15579887.3755051,634266.625099298,20944532.1264647,6636233.55688536,20035679.4885918,3320764.81124207,11384270.2799032,10382321.1476983,7412839.4766175,18295578.0254307,8958430.24827573,17122014.2610297,9039533.30236781,3330550.11951309,22680484.1736717,24197172.9915993,11093404.5878675,25197522.3316775,6678887.93848602
MB_315,14566285.8752973,8253157.62562665,505449.884540454,12036771.8765555,7568592.41994404,9410718.23267855,11849379.7633276,4979349.93306264,9648719.02468882,5385018.4252046,14709834.7575413,6343657.95267493,7935308.32278921,4104133.03394496,10368672.9214914,11842306.503915,9016681.87895545,6937886.5257412,12155217.7636832,7919326.47341267,13374533.3521599,12808357.1000967,9799983.86121834,9593364.9442628,6038751.85599162,6926329.10947042,11698112.1324571,11815525.5010075,5037801.41169516,5887979.61081275,5634440.73786275,13378827.8608913,4168308.71372188,6084047.22809109,9173114.48638724,10593542.4646609,6793638.37234492,8250018.59832817,9896785.59031397,8475815.78409593,5334209.06204221
MB_316,5858190.06261286,5401349.35115263,2293279.37716933,9199649.92309147,6869530.76887795,6578854.07659098,3957560.05396364,7517421.00021875,5025304.15701206,11869191.4384294,8249533.67409793,6621656.61811117,5852685.63697112,3929227.9541552,7719027.4515742,8061325.91033983,9511629.11081889,7944649.88841798,6279131.72049845,7267238.40854532,6521697.59869772,7061702.75673846,6463978.64611531,4707008.77045413,5275245.32766626,10543958.1258709,7710788.49544112,6655563.03096259,6414384.10870215,2469142.99267221,5922286.01427721,6764405.95838337,8008560.1332227,5672584.43032837,9153470.50507654,540522.411816698,5882778.0564726,5233307.09792703,7455277.321362,5023774.13875874,4060694.26685281
MB_317,1604583.79566393,1286737.48058476,1472465.35118213,566312.406991508,1089334.01248246,1319500.66788324,650392.932812777,953402.936110661,1922762.32318006,761065.835826163,1018192.20798094,1006300.67412407,910659.933960489,1863100.30676252,1329405.21354121,1375212.27926827,1449436.33775858,1312532.98449777,1047752.0388723,660856.792198865,1932951.61506495,1469413.09462342,909020.101481871,797617.616895251,1166981.4183013,1428115.30273734,1045952.34443127,864287.264428855,1446402.58233384,1252985.63129994,1239703.79905634,1439042.71462984,818895.668736643,1031674.82240602,943882.457970141,1166912.38715652,1428723.01044451,1115534.67234364,703623.788652063,962986.372147716,1291280.70763397
MB_318,6639614.72288561,6912513.76056803,6998597.00686838,7676446.8017136,6014070.9529141,8255253.83121639,7416712.30522172,9005452.5716396,4326292.10504107,6035067.94220359,4241027.88618161,6287423.79311793,3848811.92533617,2835006.90815297,6359450.00378111,7075986.26224467,10434338.8487433,9963791.19722594,4684400.1420654,11989110.3063696,1798468.11050824,2776355.95280851,6161738.68299939,18925890.0023556,6963834.61086958,9614807.4992269,6058662.14316225,6135386.72197862,3565650.73913868,7449197.95312974,6443583.74761949,2971540.2103424,8541988.83627508,4884277.9351041,7069576.21328225,5673988.18272667,7438621.12459866,5493896.24173934,2579094.91522947,5625188.61207194,5842598.62187662
MB_319,9531749.62998408,6208009.22141571,5311299.30269438,6504368.32716034,5246035.24406448,6991655.83209571,9129793.55706671,7760338.32757189,7023880.75718867,10127944.8062956,6760407.23317174,8297354.50748719,6000234.2883845,5363950.77994605,2123390.92172285,5765426.30883758,3360560.4544638,3884999.45902996,7511716.7883265,5546062.57051007,5822761.33533275,6190241.81382796,9384518.42062709,6670353.2987858,3505925.86198099,5759933.69503739,4940040.48763255,2830160.54016397,5317017.28623788,5873071.36149213,5769023.69884152,4373904.06262696,5151474.98398919,8539048.04222226,6513215.77115355,6390185.17785675,6758632.12081368,5796920.81514185,4812621.76846977,5151286.11129393,7649150.53737243
MB_320,2569427.53882255,5396221.98895536,2555094.03279711,3980450.6905589,5637199.60018422,4872179.72032579,3053166.73237567,4465744.59088263,3614699.02985019,3930468.21535262,4222902.08158031,6530192.17976746,4324085.45734749,5046868.64082592,3196405.00671873,3254437.47232311,3318004.60070045,4052373.03756111,3178638.15602341,4643981.23766153,4378410.45697842,4284270.6721622,5199003.82455224,5133592.48319594,3143912.16147647,3407637.03952042,5815359.17374775,2754857.95306473,5330100.46521575,6004034.32074935,4545210.22980665,4434261.9673459,5409816.00307131,3583710.03334074,6070193.4864876,6424067.19498073,4111056.52230886,4474956.60855706,1805130.84185233,4138226.5706983,4298319.29782972
MB_321,29112047.1188307,27373815.5025626,45440892.9550847,11165187.281158,30615475.7825035,30282195.4467457,19718591.5078474,29442017.8077442,32401040.8894536,30044733.8384923,16802782.5003929,21712554.4238383,10086707.9987242,25944503.9922938,14998579.1641687,21167966.1897399,22894821.9416839,16947673.424343,19945376.4527809,26109423.6345391,1225448.81270578,350936.090944055,5275538.20360559,24032134.5062151,27195773.7380659,35284782.9890745,13188956.5625401,32774323.4525516,22187049.5597259,35660992.1040449,31907598.0935773,670603.887488656,10207485.8550027,21194917.7700519,32616520.1369682,21197611.1510427,13415316.2851361,9679625.37033524,24637457.8016194,18382199.7754932,30913046.4380301
MB_322,27281176.8680003,11078523.6901495,5613192.45362658,22110442.0926319,10610370.2347214,24076998.4334076,19995910.8229523,31838446.1265225,11653929.3611074,20162907.1129804,19603930.8756638,12859733.2388461,6824701.70414297,18632487.2500577,4798425.38206012,598355.555822009,8082352.3778114,17041868.4232794,5434749.14841843,2577659.32237606,14379312.0274656,16025887.8820618,2998603.21918366,13803594.7665018,1727275.6958942,9816115.80428111,17072175.9148857,11328299.360524,2969597.66010237,18001261.7976604,11259881.6257985,20863148.2817844,5955787.00446028,10666882.2514472,11548896.8968889,26946701.368632,15729616.7027191,6515118.40367079,2783280.18114944,2726877.87398164,27332004.1967188
MB_323,7267901.38221427,6266159.99793897,5951831.56210628,10827845.9302071,6776622.48719339,13379867.7619089,7247969.70765796,9829625.34805962,8992837.84408207,12023493.5913022,8841930.21617341,2300194.01032757,9641427.74514356,15618575.3984855,4398821.55716126,13830515.7784161,6710146.50228985,8185884.15474016,12629983.1283341,5516988.42967079,6645126.78786543,4637081.85458908,6649548.78244775,5186367.60994291,7905646.67608908,8332714.92600604,17265294.2521832,8063441.69422228,9145556.82812124,7680598.01626731,7729519.10919611,8306709.89152196,6555969.72110775,6471450.24450507,12855123.7031979,9748178.54862816,5114329.71844967,8382339.55857816,10087316.7218711,10731552.8195106,14329916.7979866
MB_324,17222041.5021205,3364847.30656493,7974897.5409994,5211360.81067011,14335583.8356954,9226518.60192169,11259568.7591482,6855175.25873114,7389094.52727317,4765836.39746697,11754345.405771,16976774.8807403,10011709.5461569,12832382.6609182,14016262.3184543,10471870.8341051,12076531.5633475,7851507.59686328,6165330.22136014,10007183.498599,12939985.5659484,5311757.76177129,6397856.33090125,5566985.17536822,6151923.41974426,10513666.6082173,8531666.3013457,5653743.36087645,10902258.3175284,45287333.4283622,8233571.09026841,1466552.78302506,15677915.6181762,7182061.8818481,10139547.3898458,11786668.0933671,5725697.22946649,8128567.010984,10399019.0348264,14430046.7280279,11606677.2562214
MB_325,5987111.39309968,5064921.21626881,4109956.08654916,5946616.05669855,6057152.43127284,1740578.16613962,3898189.83861211,4759413.89678354,4943827.82384855,5499796.68711437,2371905.44309763,4780989.59698867,5848785.74054132,4683539.5338226,4847135.97231784,4388267.83152116,3729035.21760813,6117329.53035545,3595836.00623088,3625666.12899041,4422919.37946015,3361336.5568794,5853044.74216133,3813351.61109653,5386157.62319973,3206498.89011577,2556507.78733578,2862289.82906307,6168332.72687041,4640464.75713468,4534515.09560527,4510174.19475875,5808245.48007765,5315905.24535132,4397967.39587662,3859332.56016751,5059947.84309903,5216985.35571234,3384965.54624063,5544883.09845719,6181217.17744964
MB_326,3523851.06776696,3005584.75278487,6530383.053302,5843510.59235929,2293886.99706458,5989945.92543141,5074839.01392808,4423490.61250952,6593294.35690781,4140763.28063469,4641681.15426822,4482589.02186134,6997591.51344864,5211374.18784481,6478369.23818919,4445633.79698013,2971034.90336977,5876380.70492425,6422839.6693619,5289892.05812323,4532413.44298972,4789745.61518085,2767351.35584002,3728097.92622272,4505810.57894926,4750808.61621478,3978489.96506942,5007312.20071489,3400802.59386763,4891510.7018129,2329894.14395235,7275412.29392983,6172210.25140706,3467185.95969544,4115791.50969476,3926878.86897242,5405013.50996605,2424639.98371269,4327126.54542178,6271099.94131127,3528380.58303552
MB_327,7780872.96689502,10958111.2941841,28273743.847322,10113302.4977571,21804818.8459169,49114677.0758882,9299230.42009593,11477158.7200594,21265495.5153991,9561965.55719474,19304958.1183752,27257023.3736021,9812918.13094783,15826902.1575869,20399741.0805132,749029.886103218,15547193.8587941,11250854.6264026,25242783.9918842,13950820.1003221,21988628.3460461,10538297.9634903,31435453.2184125,21298999.5716941,25088258.9213224,9952067.19217493,6483627.88084312,37094299.0418226,6307550.7517241,11377756.1250619,9881337.32752652,13283162.1894633,16488786.4668588,8142782.17645568,11770631.8404836,9349138.11042819,12711901.9245921,29473601.4389607,7544367.72037051,15344852.9810518,3757032.90508316
MB_328,4890182.90481786,43030137.8486688,1484383.40231052,28729212.9959441,58386704.2072644,25513163.7773083,27451028.2340206,87495066.6951125,100107791.412054,34728351.2822957,11545485.0653145,57441973.3436941,49236618.5416703,726237.541890524,58892510.4023742,53174602.0428045,3713501.33111618,81459836.5644199,70097961.9501429,25494967.5481127,53212198.2375481,50459414.0829064,100407706.442495,42132296.1008833,92259696.0204187,8494072.18340504,23766883.0025505,9841715.56858182,48809041.3973356,19980169.5842993,31641636.1719087,45794698.643169,79083850.1111007,25660201.5733951,41122842.1361139,77531246.38646,123712060.878218,125371652.485142,25773395.6799469,107616369.68673,54213734.8058861
MB_329,9445653.86400066,4895874.43027325,9289093.64549959,6420464.67763612,6730867.95196416,6087593.16496182,4988320.64689494,4323112.45829058,12032229.4116449,5638691.83813259,10728077.5066019,4679347.06256448,8023141.4806623,10459112.5534463,2390622.01909871,10179670.0391668,7264266.19232981,7728345.74089626,7711740.46442809,9307869.88764978,10499615.7003368,3919688.68535342,9167908.76276354,5830481.77716562,5919466.55756369,7592521.48671033,4316905.41562998,7307818.63077597,7904970.99072116,7662487.01329398,9224291.54788918,7651417.77098329,11166721.2659276,7340258.92119912,12455979.0518371,3620133.89716965,7008943.2430911,7220495.5384648,6185428.87876051,5024194.09452211,5611917.94641566
