Class,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,Tumor,NAT,Tumor,Tumor,NAT,NAT
MB_11,4543462.19753038,6379170.66841588,6624444.29748797,7668649.72240577,4568771.46910552,10859645.0828456,2874407.47182211,1988511.35007088,10339347.4485432,7176761.1992816,9943541.24181172,7439187.02362657,3461355.61990383,10655849.122642,8889095.9167489,9214663.93609668,5627014.12781122,4923812.96830742,14418760.3758988,6448043.88168975,9431123.44630196,10023029.9636159,12310192.4764526,10271471.4538133,6050944.40991448,15847261.9014276,2453298.42573209,9427689.38867874,1349520.72127973,4415338.44938506,10121578.062203
MB_12,8412034.18582845,3643864.7409693,3529626.82458373,7569197.62281754,7512400.2362709,6516036.60274764,7100469.30120731,6999437.33505836,6207671.84806309,1999205.00196023,7804158.33625114,6823268.9545571,4043452.26763238,8244747.8247949,3465793.59242614,4608664.46011781,7824422.85890559,9063016.80545078,6531606.08816405,9120394.66856083,5233770.49750731,6479537.48825171,7411805.23176618,5759985.52851696,9031224.05069235,9781389.5751213,5049253.7108604,4511156.74843241,12564956.5026438,9256838.84913204,5447041.79243353
MB_13,2219664.12356524,3201376.81725643,5223706.9485929,5298007.50314833,4718991.52480908,6944325.90956475,5161199.89297461,1564455.78654707,3931519.3004291,5541566.10570211,5454115.69711756,6745603.96752941,7101257.81951361,3115959.15243541,5658689.94553844,4875397.44198829,3829844.66462597,4966122.64532961,7126118.52329769,3194250.68795633,5034222.25461143,4224803.08501089,5721437.91320157,5691204.09064859,4823655.20197325,4768983.94429675,3556268.63584919,4636231.89718849,6335735.16274988,4575659.30408255,4651980.23416433
MB_14,52200048.3650256,83346670.7498715,56613743.8035707,91164307.8730471,39170123.9897012,101429130.139773,61277476.5662728,79915060.315648,18964443.0643775,48590567.7825056,55200051.2148694,142806214.804857,28185601.522819,32306943.6151395,22402512.7079504,51039314.3752588,60562775.5367194,28669028.6044729,47954179.4397758,82505933.7402222,98119929.7506159,39750180.3324626,22308510.866827,33673120.8988075,41688391.0833948,138602757.275617,87484208.7829198,54725718.6927181,56207396.0518404,99665194.1051515,36176258.4652006
MB_15,7101421.11766415,14107820.1083002,13399821.8833875,27708005.1338399,17905164.7514382,17349146.6551301,1081174.83303081,14746500.2882815,21981020.2858069,1647721.630705,36864715.8897509,5883444.38851769,6518345.00314031,6414451.56159038,13835967.0895783,11375648.3200823,23639593.0956988,9043731.08913645,29327199.4824987,6363189.43655342,18944515.516694,28328497.3470863,10761286.1438139,28183524.7316063,17661447.9875795,26563838.0816008,4392004.95565482,12712957.1036122,4274823.79495678,37176463.8395117,14149462.8474321
MB_16,1180791.92614103,664609.953874412,1810844.69103573,699589.157203853,1263137.41751357,663835.638414201,2552245.36196123,1257883.28592169,1944730.67305844,258851.978276734,1990210.70237442,935285.655513833,1374981.75131727,935138.258293842,2215018.61697656,2141833.69882049,1023838.44530188,2550241.35011986,1480490.83240368,2320737.21241495,1705575.24159407,1352326.10634921,1105951.53882803,1988163.04569654,1552295.69861937,1453041.58567305,1155911.62661032,590089.224095976,1287842.87875781,731720.169291486,2202150.11196513
MB_17,3568428.41454651,5892060.06005299,12165453.2403273,10136912.3112019,8276958.05887569,15013528.4992663,7998576.05452745,11524962.0851737,8731338.27608289,8769282.78043818,6982201.3853646,8875851.2339787,9279623.08220546,4210693.01794917,7687065.99251429,3680435.71667019,16569206.2854476,10591090.1323576,5672366.36113186,8876530.54507269,9088668.15185054,8240661.645896,8977647.5389743,4976272.76977569,4979756.44452562,7872359.87924767,10097712.1202868,5492002.29041814,7736425.80223151,4306140.1636136,8733874.73590203
MB_18,7292158.65826224,7377243.49338056,9132847.39001801,6172160.06267821,4654033.66918229,6940705.99859375,14042840.7637166,8521060.33550657,8560228.61815234,9549170.15300765,6289545.16679532,8507918.20039112,7823780.76643202,3106714.27780719,10225351.8857505,9088209.78699046,8727149.56035555,6661638.86202448,8279341.15989428,9312253.89570266,8073872.27746441,3253500.33451053,7618726.4818846,3823040.01862693,5986414.83011541,7549179.31211519,3653041.01156392,6068481.2835455,9657832.3399678,2929275.47846786,8608404.317442
MB_19,1955316.20825006,8138825.53704635,5289246.9938721,5821748.18743117,5707033.22063169,6071680.06761355,8648359.64869037,5842841.11451505,7340411.49442854,5528783.08239922,5888970.87622505,6099368.7804814,5529967.44738767,4978047.27163911,5859380.92175812,4222581.97348065,4079892.47520256,5818083.69449823,3672397.86876455,6817179.5247616,4074650.73859779,5623669.82787207,4397836.32528036,2602980.36867586,5355618.06093082,6449905.81575807,3780934.85275002,6862881.5396801,4691569.62043156,5098546.84086361,6433338.12158684
MB_20,6402688.65881423,6965317.0881971,8214831.5812983,7120134.68022074,6925346.18833983,3643550.5174178,12270999.1675374,6677000.8080148,5490252.05393851,5997384.93342865,6966560.57154187,8204940.12207813,3850942.17754255,10497999.0514028,7236020.73141462,7557471.0441292,10937085.527912,4638935.90683661,6891256.02076881,6372794.4155661,5008113.58545578,2312145.14495432,7076469.88967882,10291618.1713357,4630811.94564686,7587408.38873605,9688050.98265548,8183639.98329701,7737061.29068332,4885281.19947011,5207751.63525698
