"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Q9Y6G9",0.1405,0.23471,0.2315,0.2274,0.22581,0.25997,0.25874,0.25832
"P29218",0.14044,0.1985,0.21982,0.23056,0.27124,0.31306,0.32517,0.32413
"P38606",0.14043,0.1492,0.14736,0.16208,0.16011,0.17223,0.18852,0.18818
"P45973",0.1404,0.2886,0.34325,0.34793,0.34276,0.38706,0.40149,0.42398
"O60925",0.14015,0.19104,0.18828,0.19202,0.30341,0.2999,0.29804,0.29943
"Q13573",0.13999,0.18715,0.18395,0.2102,0.20779,0.20571,0.22375,0.28819
"Q8WUW1",0.13965,0.5031,0.495,0.49389,0.51563,0.51391,0.51266,0.51075
"Q9BRF8",0.13943,0.38442,0.38094,0.38683,0.38082,0.37587,0.38282,0.39348
"P16435",0.13924,0.12665,0.12997,0.18507,0.20323,0.20476,0.20515,0.20814
"Q8IXM6",0.13918,0.13418,0.23546,0.23202,0.26227,0.26468,0.31087,0.32366
"Q96A65",0.13877,0.28051,0.27722,0.2852,0.28458,0.28761,0.29915,0.30315
"Q49A26",0.13852,0.40919,0.44006,0.43262,0.42691,0.42851,0.42965,0.44609
"Q9Y5P4",0.13851,0.32283,0.32149,0.31925,0.3135,0.31286,0.31116,0.3111
"Q96IY4",0.13847,0.5788,0.57099,0.56224,0.60233,0.60026,0.59732,0.60264
"Q8NI22",0.13826,0.31526,0.32627,0.49449,0.48566,0.53685,0.55059,0.5496
"O94973",0.13824,0.13,0.1771,0.19888,0.24055,0.25073,0.25385,0.25438
"P42766",0.13823,0.20013,0.21787,0.21402,0.21302,0.2128,0.21406,0.21662
"Q9P2W9",0.13806,0.16673,0.19999,0.20055,0.19702,0.19485,0.19392,0.19581
"Q9UI12",0.13775,0.13598,0.15364,0.1642,0.1676,0.23904,0.26897,0.26864
"P53602",0.13772,0.74693,0.76141,0.74809,0.73546,0.72925,0.76538,0.76266
"O60831",0.13747,0.39671,0.41317,0.40976,0.47715,0.49675,0.49468,0.50456
"Q4G0F5",0.13746,0.609,0.60546,0.60226,0.59655,0.5948,0.59161,0.59102
"P40818",0.13684,0.38491,0.37849,0.37178,0.36518,0.39063,0.38937,0.39232
"P78347",0.13682,0.29362,0.31688,0.32293,0.34189,0.34024,0.34545,0.36924
"P60866",0.13611,0.24177,0.23929,0.2435,0.24433,0.26772,0.26629,0.26552
"P09211",0.13601,0.31911,0.32036,0.3228,0.31739,0.31898,0.36003,0.3605
"P62820",0.1354,0.29335,0.30453,0.31441,0.4473,0.45104,0.51384,0.51341
"P02675",0.13525,1.0231,1.0357,1.0218,1.2834,1.2673,1.284,1.2803
"P08311",0.13499,0.37417,0.43979,0.43247,0.65401,0.65198,0.66609,0.68178
"Q9Y5Y2",0.13472,0.16053,0.16153,0.16012,0.15802,0.20471,0.20373,0.20305
"P09429",0.13404,0.12379,0.13535,0.14908,0.14869,0.14675,0.14594,0.23569
"Q9UHY1",0.13351,0.13219,0.15892,0.1578,0.15497,0.15379,0.18324,0.19028
"P63208",0.13246,0.13262,0.13407,0.13542,0.13331,0.13814,0.13774,0.13723
"P49458",0.13228,0.20063,0.20743,0.2577,0.287,0.29552,0.30121,0.30007
"P09382",0.13228,0.71409,0.70351,0.70116,0.69626,0.68831,0.68409,0.68171
"Q709C8",0.13183,0.32393,0.43089,0.42328,0.42374,0.41841,0.41603,0.41587
"P31946",0.13158,0.20671,0.2276,0.27553,0.29446,0.29209,0.30306,0.30275
"P68371",0.13122,0.12161,0.12058,0.13457,0.13814,0.17951,0.1895,0.20939
"P55072",0.13101,0.20131,0.20713,0.21175,0.20892,0.20618,0.20555,0.21155
"Q687X5",0.13091,0.11921,0.24455,0.25772,0.39101,0.4961,0.49722,0.49665
"Q9BSH4",0.13069,0.55127,0.55226,0.6133,0.64201,0.63451,0.63066,0.62887
"Q14061",0.13034,0.40997,0.41835,0.42115,0.90128,0.95148,0.94718,0.94629
"Q07021",0.13002,0.25282,0.24965,0.26267,0.30124,0.33037,0.32939,0.32971
"P82673",0.12971,0.32352,0.32208,0.37977,0.39581,0.39077,0.39227,0.40024
"P09467",0.12941,0.14107,0.27293,0.67897,0.73489,0.7377,0.73525,0.73606
"P18669",0.12919,0.19318,0.18986,0.19472,0.20725,0.20696,0.24187,0.24246
"P09619",0.12837,0.29799,0.29476,0.45092,0.44719,0.58027,0.58385,0.5818
"P46779",0.12828,0.1895,0.20064,0.20356,0.22613,0.24591,0.24735,0.2472
"O43390",0.12781,0.16407,0.19893,0.19653,0.19306,0.19319,0.20368,0.21851
"P16333",0.12732,0.30677,0.30498,0.30103,0.3023,0.29852,0.30288,0.30565
"Q12797",0.1273,0.16352,0.20174,0.24008,0.26634,0.26286,0.26536,0.26919
"Q9Y6K9",0.12727,0.11693,0.21517,0.27462,0.2911,0.32604,0.33142,0.33763
"Q9UNH7",0.12727,0.16748,0.1646,0.17477,0.18216,0.17977,0.18083,0.18527
"P62191",0.12691,0.20074,0.19729,0.20062,0.20391,0.20685,0.2127,0.21193
"Q5JRA6",0.1261,0.21485,0.36229,0.43668,0.55478,0.55169,0.55439,0.55543
"P48637",0.1258,0.17419,0.17705,0.18129,0.23788,0.26465,0.28387,0.29298
"Q8WVM7",0.12574,0.11403,0.19137,0.20428,0.22671,0.23398,0.25545,0.27609
"P22392",0.12507,0.14307,0.14067,0.17559,0.17887,0.17676,0.20239,0.21167
"O60343",0.12504,0.17276,0.19229,0.1934,0.32331,0.33034,0.34671,0.35072
"Q9Y3E7",0.12466,0.35028,0.38256,0.37663,0.38022,0.3813,0.39798,0.39708
"P22059",0.12433,0.15134,0.16898,0.18233,0.20042,0.19778,0.22198,0.22406
"P50914",0.12423,0.23601,0.24143,0.23809,0.24691,0.26584,0.26569,0.268
"Q9NXG2",0.12398,0.39783,0.39855,0.42456,0.4354,0.44713,0.44934,0.44962
"Q15057",0.12303,0.22292,0.22415,0.22048,0.29254,0.31915,0.31761,0.31923
"Q96L92",0.12287,0.36705,0.37822,0.38169,0.39551,0.41485,0.41294,0.41355
"P61960",0.12244,0.18107,0.20421,0.21518,0.21885,0.25907,0.25952,0.27652
"O14964",0.12217,0.16199,0.1673,0.16465,0.17292,0.19681,0.20468,0.20559
"P12268",0.12197,0.19706,0.19901,0.28163,0.27874,0.27698,0.27939,0.29194
"Q9Y365",0.12157,0.4345,0.43414,0.43832,0.50677,0.60608,0.66951,0.70223
"Q9NYF8",0.12023,0.11332,0.18753,0.22544,0.22233,0.26983,0.27368,0.28618
